Parameter;Value;Run;Succesful Requests;Time Spent;Succesful Requests per Second
noise;0,01;4;855;376,3007391;2,272118843
noise;0,1;4;890;442,61306;2,010785674
noise;0,2;4;1000;529,923586;1,887064525
noise;0,3;4;942;347,5615322;2,710311449
tau;0,0001;4;985;480,1623141;2,051389647
tau;0,001;4;933;388,0486944;2,404337428
tau;0,01;4;855;444,0018686;1,925667571
tau;0,1;4;1000;693,489252;1,441983415
tau;0,2;4;887;375,7190659;2,360806465
tau;0,00001;4;999;406,1779385;2,459513197
tau;0,000001;4;285;272,0865326;1,047460884
alpha_a;0,0001;5;911;436,0111939;2,089395898
alpha_a;0,001;5;872;661,1309545;1,318952008
alpha_a;0,01;5;1000;948,5146513;1,054279972
alpha_a;0,1;5;1000;947,9852878;1,054868691
alpha_a;0,2;5;1000;948,0174673;1,054832885
alpha_a;0,00001;5;929;365,8032398;2,539616655
alpha_a;0,000001;5;1000;480,4980574;2,081173867
alpha_a;0,0000001;5;1000;491,9165531;2,032865114
batch_size;128;5;1000;628,8099635;1,59030559
batch_size;16;5;781;271,3821303;2,87786082
batch_size;32;5;956;375,8890577;2,543303617
batch_size;64;5;775;308,3871798;2,513074637
batch_size;8;5;172;112,4099027;1,530114304
fc1;100;5;798;406,4688708;1,963249974
fc1;200;5;862;376,192273;2,291381461
fc1;300;5;787;425,210226;1,850849184
fc1;400;5;891;453,5907042;1,96432597
fc1;500;5;981;296,5511164;3,308030035
fc2;100;5;819;331,4160135;2,471214325
fc2;200;5;905;409,8994544;2,207858513
fc2;300;5;928;391,4966552;2,370390622
fc2;400;5;854;299,039089;2,855813943
fc2;500;5;913;452,6204649;2,017142553
gamma;0,8;5;913;399,6127842;2,284711691
gamma;0,9;5;906;307,3663486;2,947622614
gamma;0,99;5;845;356,7956049;2,368302715
gamma;0,999;5;914;312,0102639;2,929390811
gamma;0,9999;5;884;353,64058;2,499713127
l2_value;0,0001;5;802;473,5083496;1,693739932
l2_value;0,001;5;1000;595,3838821;1,679588632
l2_value;0,01;5;819;420,5847673;1,947288784
l2_value;0,1;5;794;304,8509645;2,604551379
l2_value;0,2;5;917;360,8773057;2,541029833
noise;0,001;5;1000;405,9493199;2,463361683
noise;0,01;5;957;348,7656922;2,743962556
noise;0,1;5;996;398,0989621;2,501890471
noise;0,2;5;642;259,2412274;2,476457956
noise;0,3;5;191;130,7925639;1,460327669
tau;0,0001;5;535;380,2338294;1,407028935
tau;0,001;5;1000;372,335332;2,685751026
tau;0,01;5;1000;585,6417218;1,707528618
tau;0,1;5;1000;471,0787047;2,12278753
tau;0,2;5;1000;540,4932964;1,850161707
tau;0,00001;5;1000;351,8565836;2,842067042
tau;0,000001;5;725;294,5525669;2,461360319
alpha_a;0,0001;6;915;327,5403135;2,793549258
alpha_a;0,001;6;189;147,8554169;1,278275791
alpha_a;0,01;6;1000;951,6410394;1,050816388
alpha_a;0,1;6;1000;950,5584288;1,052013185
alpha_a;0,2;6;1000;948,0411286;1,054806558
alpha_a;0,00001;6;1000;344,5000265;2,902757396
alpha_a;0,000001;6;1000;464,123454;2,154599151
alpha_a;0,0000001;6;1000;489,4970048;2,04291342
batch_size;128;6;198;121,8467371;1,624992222
batch_size;16;6;999;503,1591141;1,985455439
batch_size;32;6;883;600,2248075;1,47111547
batch_size;64;6;896;350,9086381;2,55337117
batch_size;8;6;1000;496,1922685;2,015347807
fc1;100;6;911;357,8861451;2,545502285
fc1;200;6;1000;436,9081132;2,288810781
fc1;300;6;973;448,0348082;2,171706265
fc1;400;6;891;420,9057951;2,116863228
fc1;500;6;936;469,4923042;1,993642902
fc2;100;6;935;428,997953;2,179497579
fc2;200;6;995;377,2162385;2,637744345
fc2;300;6;966;611,1102581;1,580729479
fc2;400;6;913;470,2513802;1,941514769
fc2;500;6;924;333,4504637;2,771026286
gamma;0,8;6;996;313,2068932;3,18000664
gamma;0,9;6;820;388,734339;2,109409737
gamma;0,99;6;901;471,2732133;1,911842164
gamma;0,999;6;1000;453,0276734;2,207370672
gamma;0,9999;6;868;358,6330078;2,420301481
l2_value;0,0001;6;909;372,7730103;2,438481261
l2_value;0,001;6;978;423,1881913;2,311028568
l2_value;0,01;6;1000;369,4073099;2,707039014
l2_value;0,1;6;1000;367,1395859;2,723759677
l2_value;0,2;6;910;283,7958489;3,206530341
noise;0,001;6;1000;418,222555;2,391071424
noise;0,01;6;136;81,81925735;1,662200372
noise;0,1;6;865;364,9027513;2,370494596
noise;0,2;6;794;552,6585167;1,436691874
noise;0,3;6;1000;448,3838777;2,230231839
tau;0,0001;6;756;320,2272001;2,360823815
tau;0,001;6;1000;363,8517618;2,748372015
tau;0,01;6;972;368,6793246;2,636437509
tau;0,1;6;704;383,060809;1,837828312
tau;0,2;6;898;413,8852426;2,169683544
tau;0,00001;6;889;436,650396;2,035953724
tau;0,000001;6;1000;505,9865181;1,976337243
