Parameter;Value;Run;Succesful Requests;Time Spent;Succesful Requests per Second
alpha_a;0,0001;1;964;400,3411247;2,407946475
alpha_a;0,001;1;986;327,0886115;3,014473648
alpha_a;0,01;1;1000;947,7480181;1,055132779
alpha_a;0,1;1;1000;949,2171815;1,053499683
alpha_a;0,2;1;1000;950,112952;1,052506439
alpha_a;0,00001;1;1000;481,6296627;2,076284078
alpha_a;0,000001;1;1000;487,6937021;2,050467324
alpha_a;0,0000001;1;1000;486,8353894;2,05408239
batch_size;128;1;1000;337,056869;2,966858391
batch_size;16;1;873;353,1098597;2,472318391
batch_size;32;1;859;380,955318;2,254857616
batch_size;64;1;1000;510,8986056;1,957335544
batch_size;8;1;155;112,1742582;1,381778694
fc1;100;1;1000;431,8448284;2,31564658
fc1;200;1;1000;373,761905;2,675500062
fc1;300;1;880;351,6429271;2,502538605
fc1;400;1;1000;442,7161898;2,258783444
fc1;500;1;1000;851,8591155;1,173903034
fc2;100;1;709;304,7236016;2,326698675
fc2;200;1;1000;633,6780774;1,578088363
fc2;300;1;920;426,5110746;2,157036604
fc2;400;1;974;327,3142291;2,975733755
fc2;500;1;1000;427,9673139;2,336627045
gamma;0,8;1;754;300,0699442;2,512747493
gamma;0,9;1;1000;466,1419878;2,145269094
gamma;0,99;1;1000;330,2426847;3,028076159
gamma;0,999;1;1000;426,9746502;2,342059416
gamma;0,9999;1;955;319,0464371;2,993294671
l2_value;0,0001;1;894;453,9810351;1,969245257
l2_value;0,001;1;1000;336,8175793;2,968966175
l2_value;0,01;1;299;188,5283961;1,585967982
l2_value;0,1;1;794;268,90499;2,952715753
l2_value;0,2;1;1000;414,7524774;2,411076617
noise;0,001;1;897;348,0501537;2,577214779
noise;0,01;1;854;303,0325794;2,81817883
noise;0,1;1;1000;436,8460461;2,289135976
noise;0,2;1;709;377,3958143;1,878664185
noise;0,3;1;189;148,2819464;1,274598861
tau;0,0001;1;895;513,6213785;1,742528714
tau;0,001;1;900;403,3615203;2,231249028
tau;0,01;1;1000;470,0804712;2,127295349
tau;0,1;1;1000;679,768133;1,471089849
tau;0,2;1;1000;671,2234143;1,48981692
tau;0,00001;1;1000;402,3678331;2,485288131
tau;0,000001;1;997;331,9335621;3,003613114
alpha_a;0,0001;2;809;356,2094186;2,271135904
alpha_a;0,001;2;1000;642,7503107;1,555814106
alpha_a;0,01;2;973;917,0559475;1,061003969
alpha_a;0,1;2;1000;949,9647667;1,05267062
alpha_a;0,2;2;1000;949,51264;1,053171867
alpha_a;0,00001;2;891;313,2776778;2,844122206
alpha_a;0,000001;2;1000;486,4093458;2,055881551
alpha_a;0,0000001;2;1000;494,5386485;2,022086652
batch_size;128;2;1000;744,1403258;1,343832561
batch_size;16;2;1000;547,4963636;1,82649615
batch_size;32;2;1000;353,3693469;2,829900241
batch_size;64;2;1000;520,4159166;1,921539999
batch_size;8;2;1000;960,0211919;1,041643673
fc1;100;2;800;410,9264924;1,94682021
fc1;200;2;955;377,3103497;2,531072897
fc1;300;2;834;402,0148933;2,074550008
fc1;400;2;660;224,9307771;2,934236073
fc1;500;2;978;313,2011391;3,122594008
fc2;100;2;1000;420,1304651;2,380213012
fc2;200;2;912;448,8429342;2,031891182
fc2;300;2;1000;325,1058023;3,075921724
fc2;400;2;1000;448,1327963;2,231481401
fc2;500;2;1000;566,4684742;1,765323307
gamma;0,8;2;950;329,6574216;2,881779501
gamma;0,9;2;947;296,6341953;3,192484262
gamma;0,99;2;821;366,9723158;2,237225983
gamma;0,999;2;125;84,8940904;1,472422867
gamma;0,9999;2;1000;328,9127986;3,040319514
l2_value;0,0001;2;894;383,442253;2,331511441
l2_value;0,001;2;854;438,7829614;1,94629253
l2_value;0,01;2;1000;447,0843477;2,236714403
l2_value;0,1;2;1000;443,7244388;2,253650943
l2_value;0,2;2;957;333,5085847;2,869491353
noise;0,001;2;973;398,8017974;2,439808462
noise;0,01;2;1000;400,5348269;2,496661795
noise;0,1;2;966;555,4374871;1,739169614
noise;0,2;2;304;167,6801133;1,812975875
noise;0,3;2;396;286,8498057;1,380513398
tau;0,0001;2;835;303,8833247;2,747765119
tau;0,001;2;1000;456,8407769;2,188946457
tau;0,01;2;924;462,1043772;1,999548253
tau;0,1;2;752;373,0977145;2,015557777
tau;0,2;2;854;401,381213;2,127653145
tau;0,00001;2;713;300,3897606;2,373582903
tau;0,000001;2;1000;398,2629949;2,510903631
alpha_a;0,0001;3;133;91,09127064;1,460074045
alpha_a;0,001;3;996;631,9103635;1,576172915
alpha_a;0,01;3;1000;948,9815956;1,053761216
alpha_a;0,1;3;1000;950,5382521;1,052035516
alpha_a;0,2;3;1000;949,6034297;1,053071175
alpha_a;0,00001;3;960;310,6258907;3,090534397
alpha_a;0,000001;3;1000;510,0516238;1,960585857
alpha_a;0,0000001;3;1000;501,1204599;1,995528182
batch_size;128;3;914;327,89014;2,787519015
batch_size;16;3;156;165,5862235;0,942107361
batch_size;32;3;1000;377,6090376;2,648241701
batch_size;64;3;813;502,6098166;1,617556946
batch_size;8;3;79;62,54886334;1,26301256
fc1;100;3;342;243,4183421;1,404988618
fc1;200;3;885;350,7651777;2,523055469
fc1;300;3;1000;384,8316832;2,598538643
fc1;400;3;1000;363,3227709;2,752373592
fc1;500;3;1000;518,3730623;1,929112589
fc2;100;3;972;469,2960028;2,071187469
fc2;200;3;850;706,5979219;1,202947212
fc2;300;3;881;427,5357671;2,060646308
fc2;400;3;1000;319,5236267;3,129659018
fc2;500;3;858;299,2064121;2,867585604
gamma;0,8;3;878;330,7713987;2,654401207
gamma;0,9;3;1000;494,4547468;2,02242977
gamma;0,99;3;885;305,5377846;2,896532097
gamma;0,999;3;1000;393,0937557;2,543922373
gamma;0,9999;3;1000;369,8658666;2,703682849
l2_value;0,0001;3;1000;353,9409218;2,825330269
l2_value;0,001;3;794;306,8121023;2,58790313
l2_value;0,01;3;910;481,8956078;1,888375792
l2_value;0,1;3;1000;427,8751219;2,337130506
l2_value;0,2;3;999;317,6517613;3,144953442
noise;0,001;3;332;291,1132167;1,140449766
noise;0,01;3;882;432,6601626;2,038551446
noise;0,1;3;871;399,8063068;2,178554928
noise;0,2;3;609;253,1439946;2,405745398
noise;0,3;3;260;179,3203012;1,449919492
tau;0,0001;3;904;400,4542872;2,257436189
tau;0,001;3;1000;367,8454555;2,718532974
tau;0,01;3;942;422,6674971;2,228702246
tau;0,1;3;909;410,5697891;2,213996314
tau;0,2;3;1000;641,4376207;1,55899805
tau;0,00001;3;875;424,6699983;2,060423396
tau;0,000001;3;883;425,7830653;2,073826021
alpha_a;0,0001;4;949;305,8236735;3,103095288
alpha_a;0,001;4;825;706,2029529;1,168219414
alpha_a;0,01;4;978;918,9582327;1,064248586
alpha_a;0,1;4;1000;950,0466487;1,052579893
alpha_a;0,2;4;1000;948,0844413;1,05475837
alpha_a;0,00001;4;1000;407,7875054;2,452257577
alpha_a;0,000001;4;1000;467,4170758;2,139416918
alpha_a;0,0000001;4;1000;500,5143569;1,997944687
batch_size;128;4;757;371,4266926;2,038087232
batch_size;16;4;975;437,6566061;2,227773982
batch_size;32;4;840;366,8764564;2,289599088
batch_size;64;4;801;396,5204494;2,02007236
batch_size;8;4;71;59,70755254;1,189129297
fc1;100;4;1000;502,166664;1,991370737
fc1;200;4;1000;531,4120226;1,881779029
fc1;300;4;1000;517,2965613;1,933127097
fc1;400;4;1000;317,7178138;3,147447063
fc1;500;4;882;295,3964704;2,985817667
fc2;100;4;1000;463,2961916;2,158446407
fc2;200;4;833;416,2762379;2,001075065
fc2;300;4;881;410,7449576;2,1448833
fc2;400;4;975;320,5298352;3,041838522
fc2;500;4;933;468,5651291;1,991185306
gamma;0,8;4;958;325,2448721;2,945473033
gamma;0,9;4;904;481,7624167;1,876443593
gamma;0,99;4;890;303,6996865;2,930526568
gamma;0,999;4;1000;487,3511601;2,051908525
gamma;0,9999;4;840;282,0044982;2,978675891
l2_value;0,0001;4;128;87,50308939;1,462805495
l2_value;0,001;4;956;326,7362597;2,925907278
l2_value;0,01;4;869;465,3909059;1,867247488
l2_value;0,1;4;899;392,9451794;2,287850945
l2_value;0,2;4;818;342,6537104;2,387249795
noise;0,001;4;872;384,6488064;2,267003005
