Parameter,Value,Run,Succesful Requests,Time Spent,Succesful Requests per Second
maxdelay,20,1,871,1348.5554435104132,0.6458762998521643
maxdelay,20,1,940,1918.5311262309551,0.48995817015837234
maxdelay,20,2,966,1889.758233372122,0.5111765002215392
maxdelay,20,3,949,2681.591029604897,0.3538943819258766
maxdelay,20,4,952,2707.983878767118,0.35155305297955597
maxdelay,20,5,1000,15993.185611176305,0.06252663004806143
maxdelay,20,6,995,2119.8964364104904,0.4693625513540564
maxdelay,20,7,1000,12229.569989461452,0.0817690238382647
maxdelay,20,8,946,1790.1531010493636,0.5284464213957273
maxdelay,20,9,931,1642.4159376462922,0.5668478846681154
