Parameter;Value;Run;Succesful Requests;Time Spent;Succesful Requests per Second
alpha_a;0,001;4;951;307,8869348;3,088796219
alpha_a;0,01;4;1000;949,0725317;1,053660249
alpha_a;0,1;4;1000;950,5508843;1,052021535
alpha_a;0,2;4;1000;947,9395599;1,054919577
alpha_a;0,00001;4;939;402,5032874;2,332900201
alpha_a;0,000001;4;1000;488,5634371;2,046817105
alpha_a;0,0000001;4;1000;492,800675;2,029218
batch_size;128;4;772;384,003262;2,010399589
batch_size;16;4;892;494,0227811;1,805584751
batch_size;32;4;1000;399,6974874;2,501892135
batch_size;64;4;1000;296,6178998;3,371340707
batch_size;8;4;1000;333,8188046;2,995637113
fc1;100;4;779;346,9211803;2,245466821
fc1;200;4;720;289,6929876;2,485389812
fc1;300;4;845;489,4181618;1,726539932
fc1;400;4;927;435,9867233;2,126211535
fc1;500;4;1000;352,2204572;2,839130947
fc2;100;4;325;244,8979267;1,327083509
fc2;200;4;1000;439,8800252;2,273347146
fc2;300;4;1000;320,3600502;3,121487837
fc2;400;4;1000;464,9931423;2,15056935
fc2;500;4;810;446,1927135;1,815359094
gamma;0,8;4;356;216,7161617;1,642701667
gamma;0,9;4;811;378,6195455;2,141991901
gamma;0,99;4;996;622,2767773;1,600573951
gamma;0,999;4;1000;578,9743622;1,727192196
gamma;0,9999;4;872;756,1438504;1,153219721
noise;0,001;4;938;410,6869985;2,283977831
noise;0,01;4;1000;293,3870735;3,408466461
noise;0,1;4;853;368,8464488;2,31261546
noise;0,2;4;1000;503,8656808;1,984655907
noise;0,3;4;191;144,7920269;1,319133409
tau;0,0001;4;1000;524,1759761;1,90775626
tau;0,001;4;978;332,6528598;2,94000178
tau;0,01;4;927;391,7909722;2,366057581
tau;0,1;4;599;332,7839762;1,799966473
tau;0,2;4;809;477,0933813;1,695684811
tau;0,00001;4;949;377,0189415;2,517114913
tau;0,000001;4;935;380,3571407;2,458215976
alpha_a;0,0001;5;996;442,8590071;2,24902279
alpha_a;0,001;5;943;712,726248;1,323088637
alpha_a;0,01;5;808;753,8612458;1,071815277
alpha_a;0,1;5;1000;950,8281171;1,051714797
alpha_a;0,2;5;1000;949,9555837;1,052680796
alpha_a;0,00001;5;860;325,1343307;2,645060576
alpha_a;0,000001;5;1000;477,4744467;2,094352917
alpha_a;0,0000001;5;1000;495,0384452;2,020045129
batch_size;128;5;884;306,5261321;2,8839303
batch_size;16;5;1000;655,2245554;1,526194328
batch_size;32;5;870;407,0184886;2,137495039
batch_size;64;5;1000;413,1027258;2,420705402
batch_size;8;5;87;66,76598111;1,303058812
fc1;100;5;986;446,3491215;2,209033137
fc1;200;5;991;359,3364778;2,757860839
fc1;300;5;942;333,6588748;2,823242752
fc1;400;5;1000;474,6601263;2,106770602
fc1;500;5;981;396,1480636;2,476346826
fc2;100;5;524;451,2061313;1,161331737
fc2;200;5;863;441,7784169;1,953467999
fc2;300;5;1000;342,8937521;2,916355267
fc2;400;5;849;465,0466663;1,825623236
fc2;500;5;1000;316,3894726;3,160661421
gamma;0,8;5;1000;493,236711;2,02742411
gamma;0,9;5;1000;368,8301922;2,711274785
gamma;0,99;5;735;294,5849827;2,495035536
gamma;0,999;5;850;450,2609183;1,887794311
gamma;0,9999;5;884;353,3744882;2,501595416
noise;0,001;5;1000;521,0368245;1,919250143
noise;0,01;5;1000;679,7033476;1,471230065
noise;0,1;5;903;401,3512313;2,249899663
noise;0,2;5;772;393,9766442;1,95950702
noise;0,3;5;155;125,0386925;1,239616289
tau;0,0001;5;874;487,503289;1,792808417
tau;0,001;5;888;429,2188117;2,068874839
tau;0,01;5;888;366,6026985;2,422240763
tau;0,1;5;1000;729,0731277;1,371604524
tau;0,2;5;1000;421,6036943;2,371895725
tau;0,00001;5;846;358,1284876;2,36228066
tau;0,000001;5;1000;339,257804;2,947610897
alpha_a;0,0001;6;729;463,6255647;1,572389565
alpha_a;0,001;6;98;69,30301509;1,414079891
alpha_a;0,01;6;1000;950,078608;1,052544486
alpha_a;0,1;6;1000;948,8095633;1,053952277
alpha_a;0,2;6;1000;948,9234676;1,053825766
alpha_a;0,00001;6;990;440,585707;2,247008889
alpha_a;0,000001;6;1000;491,4764836;2,034685348
alpha_a;0,0000001;6;1000;505,3338205;1,978889913
batch_size;128;6;876;415,6827966;2,107376122
batch_size;16;6;318;246,0351109;1,292498452
batch_size;32;6;947;295,0644204;3,209468626
batch_size;64;6;866;403,4949503;2,14624743
batch_size;8;6;69;60,49363905;1,140615792
fc1;100;6;875;453,106629;1,931112776
fc1;200;6;874;426,1373992;2,050981682
fc1;300;6;952;391,3389107;2,432674017
fc1;400;6;848;415,7716082;2,039581307
fc1;500;6;838;326,5418183;2,566286929
fc2;100;6;740;297,8262028;2,484670567
fc2;200;6;1000;297,7045994;3,359034432
fc2;300;6;844;277,0967348;3,045867721
fc2;400;6;1000;363,1040792;2,754031302
fc2;500;6;912;409,4734968;2,227250376
gamma;0,8;6;1000;392,4647511;2,547999527
gamma;0,9;6;738;323,7685477;2,279406092
gamma;0,99;6;922;494,3906392;1,864922041
gamma;0,999;6;1000;518,2022461;1,929748486
gamma;0,9999;6;124;84,82562546;1,461822407
noise;0,001;6;919;407,0907137;2,257482102
noise;0,01;6;1000;459,1140156;2,178108195
noise;0,1;6;1000;410,2645661;2,437451544
noise;0,2;6;474;225,3778856;2,10313447
noise;0,3;6;226;136,5934524;1,654544899
tau;0,0001;6;704;425,5956476;1,654152254
tau;0,001;6;1000;461,8764706;2,165081063
tau;0,01;6;869;443,4177215;1,959777334
tau;0,1;6;1000;683,5694095;1,462909232
tau;0,2;6;713;401,4517072;1,776054223
tau;0,00001;6;1000;446,5724414;2,23927835
tau;0,000001;6;795;391,4315278;2,031006558
