Parameter;Value;Run;Succesful Requests;Time Spent;Succesful Requests per Second
alpha_a;0,0001;1;762;418,3871905;1,821279468
alpha_a;0,001;1;995;363,7812121;2,735160494
alpha_a;0,01;1;1000;950,1376051;1,05247913
alpha_a;0,1;1;1000;950,65799;1,051903009
alpha_a;0,2;1;1000;948,764845;1,054001953
alpha_a;0,00001;1;865;301,1126028;2,872679496
alpha_a;0,000001;1;1000;461,9387946;2,164788954
alpha_a;0,0000001;1;1000;505,2079282;1,97938303
batch_size;128;1;972;321,2079673;3,026076869
batch_size;16;1;814;270,8124535;3,005770191
batch_size;32;1;913;445,7911571;2,048044214
batch_size;64;1;1000;542,6876433;1,842680614
batch_size;8;1;210;165,387904;1,269742193
fc1;100;1;254;195,9200639;1,296447107
fc1;200;1;1000;585,9987567;1,706488262
fc1;300;1;855;387,763205;2,204953923
fc1;400;1;1000;418,2324877;2,391014638
fc1;500;1;977;406,1377086;2,405588005
fc2;100;1;775;327,9417173;2,363224802
fc2;200;1;773;303,5171285;2,546808491
fc2;300;1;1000;327,8091809;3,050555196
fc2;400;1;1000;454,5039464;2,200200918
fc2;500;1;891;431,9292799;2,062837695
gamma;0,8;1;428;352,4459427;1,214370626
gamma;0,9;1;790;535,4038148;1,475521799
gamma;0,99;1;871;423,811672;2,055158122
gamma;0,999;1;904;386,4626653;2,339165154
gamma;0,9999;1;945;330,4766266;2,859506312
noise;0,001;1;761;437,6488373;1,73883702
noise;0,01;1;956;437,9570397;2,182862503
noise;0,1;1;927;409,7861973;2,262155256
noise;0,2;1;1000;522,1359145;1,915210144
noise;0,3;1;187;135,0727442;1,384439186
tau;0,0001;1;767;331,5536487;2,313351106
tau;0,001;1;759;423,199369;1,793480935
tau;0,01;1;1000;508,8686083;1,965143818
tau;0,1;1;825;296,4059703;2,783344746
tau;0,2;1;710;345,229077;2,056605446
tau;0,00001;1;917;336,5099413;2,725030935
tau;0,000001;1;1000;503,2182105;1,987209483
alpha_a;0,0001;2;1000;377,6152126;2,648198395
alpha_a;0,001;2;1000;731,9565878;1,366201243
alpha_a;0,01;2;1000;948,5701315;1,054218309
alpha_a;0,1;2;1000;947,841993;1,055028167
alpha_a;0,2;2;1000;949,9968476;1,052635072
alpha_a;0,00001;2;995;314,1144783;3,167634951
alpha_a;0,000001;2;1000;476,3384102;2,099347814
alpha_a;0,0000001;2;1000;498,6386216;2,005460381
batch_size;128;2;808;450,9582384;1,791740191
batch_size;16;2;894;481,7590999;1,855699249
batch_size;32;2;832;334,0885714;2,490357561
batch_size;64;2;1000;379,8443517;2,632657286
batch_size;8;2;1000;959,1723723;1,042565475
fc1;100;2;812;467,0208845;1,738680275
fc1;200;2;908;423,0263829;2,146438229
fc1;300;2;886;475,9570411;1,861512539
fc1;400;2;821;297,1326711;2,763075487
fc1;500;2;898;435,3112612;2,062891728
fc2;100;2;853;547,0998054;1,559130512
fc2;200;2;1000;441,1907762;2,26659317
fc2;300;2;803;309,7822894;2,592143023
fc2;400;2;916;317,005799;2,889537046
fc2;500;2;881;526,5199948;1,673250795
gamma;0,8;2;1000;370,6867461;2,697695589
gamma;0,9;2;1000;383,9140965;2,604749367
gamma;0,99;2;850;370,966056;2,291314761
gamma;0,999;2;875;488,0471731;1,792859478
gamma;0,9999;2;1000;474,0876268;2,109314699
noise;0,001;2;801;368,0703263;2,176214551
noise;0,01;2;1000;427,4200629;2,339618765
noise;0,1;2;831;398,3329141;2,086194664
noise;0,2;2;403;223,969963;1,799348424
noise;0,3;2;200;141,4641389;1,413785866
tau;0,0001;2;1000;519,8076486;1,923788545
tau;0,001;2;868;397,0391189;2,186182566
tau;0,01;2;789;351,8419426;2,242484208
tau;0,1;2;764;438,9211091;1,740631708
tau;0,2;2;1000;558,2657572;1,791261576
tau;0,00001;2;900;401,6052467;2,241006579
tau;0,000001;2;921;441,4521361;2,086296395
alpha_a;0,0001;3;915;334,5944781;2,734653618
alpha_a;0,001;3;968;903,3231527;1,071598793
alpha_a;0,01;3;1000;949,9662108;1,05266902
alpha_a;0,1;3;1000;947,7895615;1,05508653
alpha_a;0,2;3;1000;951,0224811;1,051499854
alpha_a;0,00001;3;1000;352,2684812;2,838743894
alpha_a;0,000001;3;1000;518,3369849;1,929246859
alpha_a;0,0000001;3;1000;494,7171315;2,021357128
batch_size;128;3;207;129,7576665;1,595281462
batch_size;16;3;225;148,9288198;1,510788848
batch_size;32;3;881;363,7222645;2,422177815
batch_size;64;3;1000;637,5621088;1,568474642
batch_size;8;3;76;62,29711901;1,219960107
fc1;100;3;870;427,7245697;2,03401923
fc1;200;3;886;405,8126707;2,183273377
fc1;300;3;997;464,806068;2,144980603
fc1;400;3;836;348,721755;2,397326774
fc1;500;3;1000;309,5131195;3,230880816
fc2;100;3;926;346,4365295;2,672928289
fc2;200;3;1000;354,0754877;2,824256507
fc2;300;3;1000;471,0815809;2,122774569
fc2;400;3;1000;341,5572522;2,927766849
fc2;500;3;844;436,6929575;1,932708063
gamma;0,8;3;1000;331,9206777;3,012768011
gamma;0,9;3;998;504,2300921;1,979255137
gamma;0,99;3;940;402,332744;2,336374591
gamma;0,999;3;779;410,0584893;1,899728991
gamma;0,9999;3;1000;364,598721;2,742741382
noise;0,001;3;1000;493,374969;2,026855967
noise;0,01;3;1000;459,9279464;2,174253615
noise;0,1;3;1000;438,4988956;2,280507454
noise;0,2;3;847;405,8771399;2,086838397
noise;0,3;3;800;564,2605126;1,417784839
tau;0,0001;3;950;401,0235252;2,36893833
tau;0,001;3;916;410,3739932;2,232110258
tau;0,01;3;1000;447,1511565;2,236380216
tau;0,1;3;1000;715,277694;1,398058416
tau;0,2;3;790;364,4332096;2,167749753
tau;0,00001;3;996;367,9060633;2,70721279
tau;0,000001;3;948;421,7077246;2,248002455
alpha_a;0,0001;4;987;322,9067846;3,056609669
