Parameter,Value,Run,Succesful Requests,Time Spent,Succesful Requests per Second
statescope,100,1,974,905.2512825591839,1.0759443469071488
statescope,100,1,950,310.17777872108854,3.062759698380066
statescope,100,2,1000,936.7506916981656,1.0675198949543068
statescope,100,3,1000,575.6463110602926,1.7371778135051072
statescope,100,4,1000,924.222565069329,1.0819904618158578
statescope,100,5,1000,912.564338806551,1.0958131470574417
statescope,100,6,1000,944.1291974263731,1.0591770731441488
statescope,100,7,136,184.77291050215717,0.736038630502669
statescope,100,8,942,871.6641201838502,1.0806914936470193
statescope,100,9,957,650.9464215412736,1.4701670803167952
